name,dw_nominate,party
"Clinton, Hillary Rodham",-0.367,Democrat
"Obama, Barack",-0.354,Democrat
"Pelosi, Nancy",-0.49,Democrat
"Ryan, Paul",0.556,Republican
"Flake, Jeff",0.855,Republican
"Hirono, Mazie",-0.489,Democrat
"Mcconnell, Mitchell",0.404,Republican
"Collins, Susan",0.109,Republican
"Schumer, Charles",-0.351,Democrat
"Cruz, Rafael Edward",0.836,Republican
"Sanders, Bernard",-0.518,Democrat
"Manchin, Joe",-0.058,Democrat
